system:index,area_km2,class,class_color,classe,nome,territory,year,.geo
0_0_16,0.24405559350585937,111.0,008148,UCUS Com CAR,Altamira,1500602.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_17,0.3168940690307616,112.0,21B8A1,UCPI Com CAR,Altamira,1500602.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_18,5.366283589904775,113.0,494949,Áreas Sem Registro Fundiário Georreferenciado Com CAR,Altamira,1500602.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_19,0.021235203613281257,114.0,E5E5E5,Áreas Urbanas Com CAR,Altamira,1500602.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_20,0.07726001892089843,115.0,41BBD9,Massas d'água Com CAR,Altamira,1500602.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_21,0.007131128723144531,118.0,B0D904,Terra Indígena não Homologada e UCUS Com CAR,Altamira,1500602.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,1.3320197113037118,1.0,DBA303,Terra Indígena Homologada Sem CAR,Anapu,1500859.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,0.01784772930908203,4.0,7F3822,Glebas Públicas Sem CAR,Anapu,1500859.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,0.05533039660644529,9.0,EE2918,Assentamento-A Sem CAR,Anapu,1500859.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,0.17137849652099613,104.0,7F3822,Glebas Públicas Com CAR,Anapu,1500859.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,0.03476331811523437,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Anapu,1500859.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,0.03391377191162109,109.0,EE2918,Assentamento-A Com CAR,Anapu,1500859.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,0.008022069946289062,113.0,494949,Áreas Sem Registro Fundiário Georreferenciado Com CAR,Anapu,1500859.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,0.008032940002441407,115.0,41BBD9,Massas d'água Com CAR,Anapu,1500859.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,0.07227535040283206,4.0,7F3822,Glebas Públicas Sem CAR,Brasil Novo,1501725.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,0.004461613464355469,5.0,A85529,Glebas Públicas - FPND Sem CAR,Brasil Novo,1501725.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,0.02320036199951172,15.0,41BBD9,Massas d'água Sem CAR,Brasil Novo,1501725.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,0.4354992813720705,104.0,7F3822,Glebas Públicas Com CAR,Brasil Novo,1501725.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,0.16774734759521504,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Brasil Novo,1501725.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,0.05802453692626954,109.0,EE2918,Assentamento-A Com CAR,Brasil Novo,1501725.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,0.14812370269775396,4.0,7F3822,Glebas Públicas Sem CAR,Medicilândia,1504455.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,0.7932579000244144,104.0,7F3822,Glebas Públicas Com CAR,Medicilândia,1504455.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,0.0071382254638671875,105.0,A85529,Glebas Públicas - FPND Com CAR,Medicilândia,1504455.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,0.0348001982421875,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Medicilândia,1504455.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,0.010709807373046871,109.0,EE2918,Assentamento-A Com CAR,Medicilândia,1504455.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,0.008030555419921875,113.0,494949,Áreas Sem Registro Fundiário Georreferenciado Com CAR,Medicilândia,1504455.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,1.883189925720216,4.0,7F3822,Glebas Públicas Sem CAR,Pacajá,1505486.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,0.12930076708984373,5.0,A85529,Glebas Públicas - FPND Sem CAR,Pacajá,1505486.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,0.12132178985595704,8.0,6A3D9A,Imóvel Rural Privado Sem CAR,Pacajá,1505486.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,0.9011546318359366,9.0,EE2918,Assentamento-A Sem CAR,Pacajá,1505486.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_4,1.2113366712036142,13.0,494949,Áreas Sem Registro Fundiário Georreferenciado Sem CAR,Pacajá,1505486.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_5,0.0098142041015625,14.0,E5E5E5,Áreas Urbanas Sem CAR,Pacajá,1505486.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_6,18.155050293090802,104.0,7F3822,Glebas Públicas Com CAR,Pacajá,1505486.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_7,0.43074744665527337,105.0,A85529,Glebas Públicas - FPND Com CAR,Pacajá,1505486.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_8,22.858017996032803,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Pacajá,1505486.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_9,9.814382783203119,109.0,EE2918,Assentamento-A Com CAR,Pacajá,1505486.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_10,9.624676399963413,113.0,494949,Áreas Sem Registro Fundiário Georreferenciado Com CAR,Pacajá,1505486.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_11,0.010706955139160158,114.0,E5E5E5,Áreas Urbanas Com CAR,Pacajá,1505486.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_12,0.017850864807128906,115.0,41BBD9,Massas d'água Com CAR,Pacajá,1505486.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_13,2.765162230834966,199.0,9D9D9C,Outras Sobreposições Com CAR,Pacajá,1505486.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,0.008023632934570313,1.0,DBA303,Terra Indígena Homologada Sem CAR,Placas,1505650.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,0.019616692932128907,4.0,7F3822,Glebas Públicas Sem CAR,Placas,1505650.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,0.132901002685547,104.0,7F3822,Glebas Públicas Com CAR,Placas,1505650.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,0.005351418457031251,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Placas,1505650.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_4,0.01606126641845703,113.0,494949,Áreas Sem Registro Fundiário Georreferenciado Com CAR,Placas,1505650.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,0.3821872491455073,4.0,7F3822,Glebas Públicas Sem CAR,Porto de Moz,1505908.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,0.03394030993652344,5.0,A85529,Glebas Públicas - FPND Sem CAR,Porto de Moz,1505908.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_2,0.2019077000732421,13.0,494949,Áreas Sem Registro Fundiário Georreferenciado Sem CAR,Porto de Moz,1505908.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_3,0.22069407055664056,15.0,41BBD9,Massas d'água Sem CAR,Porto de Moz,1505908.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_4,0.17860163275146473,104.0,7F3822,Glebas Públicas Com CAR,Porto de Moz,1505908.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_5,0.06787380731201167,105.0,A85529,Glebas Públicas - FPND Com CAR,Porto de Moz,1505908.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_6,0.023218540466308592,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Porto de Moz,1505908.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_7,0.008039614013671875,110.0,5EDC40,Assentamento-B Com CAR,Porto de Moz,1505908.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_8,1.8897284525756828,111.0,008148,UCUS Com CAR,Porto de Moz,1505908.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_9,0.4216549667968752,113.0,494949,Áreas Sem Registro Fundiário Georreferenciado Com CAR,Porto de Moz,1505908.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_10,0.016976175598144534,115.0,41BBD9,Massas d'água Com CAR,Porto de Moz,1505908.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,0.00802558135986328,1.0,DBA303,Terra Indígena Homologada Sem CAR,Senador José Porfírio,1507805.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_1,0.012500320983886717,4.0,7F3822,Glebas Públicas Sem CAR,Senador José Porfírio,1507805.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_2,8.928433837890625E-4,9.0,EE2918,Assentamento-A Sem CAR,Senador José Porfírio,1507805.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_3,0.02943748504638672,15.0,41BBD9,Massas d'água Sem CAR,Senador José Porfírio,1507805.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_4,0.11432067205810552,104.0,7F3822,Glebas Públicas Com CAR,Senador José Porfírio,1507805.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_5,0.04285732800292969,109.0,EE2918,Assentamento-A Com CAR,Senador José Porfírio,1507805.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,0.7056431893310553,4.0,7F3822,Glebas Públicas Sem CAR,Uruará,1508159.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1,0.02854545733642579,5.0,A85529,Glebas Públicas - FPND Sem CAR,Uruará,1508159.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_2,0.03657105487060547,8.0,6A3D9A,Imóvel Rural Privado Sem CAR,Uruará,1508159.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_3,0.008028746154785157,9.0,EE2918,Assentamento-A Sem CAR,Uruará,1508159.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_4,0.33550189666748065,13.0,494949,Áreas Sem Registro Fundiário Georreferenciado Sem CAR,Uruará,1508159.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_5,0.025872296081542973,14.0,E5E5E5,Áreas Urbanas Sem CAR,Uruará,1508159.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_6,4.068737457702635,104.0,7F3822,Glebas Públicas Com CAR,Uruará,1508159.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_7,0.08029108782958987,105.0,A85529,Glebas Públicas - FPND Com CAR,Uruará,1508159.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_8,1.9190665001220708,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Uruará,1508159.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_9,0.033007326965332026,109.0,EE2918,Assentamento-A Com CAR,Uruará,1508159.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_10,0.8503475145874037,113.0,494949,Áreas Sem Registro Fundiário Georreferenciado Com CAR,Uruará,1508159.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,0.6999305483398439,4.0,7F3822,Glebas Públicas Sem CAR,Vitória do Xingu,1508357.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1,0.015176434326171877,5.0,A85529,Glebas Públicas - FPND Sem CAR,Vitória do Xingu,1508357.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_2,0.4365069492187505,8.0,6A3D9A,Imóvel Rural Privado Sem CAR,Vitória do Xingu,1508357.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_3,0.042847896484375,13.0,494949,Áreas Sem Registro Fundiário Georreferenciado Sem CAR,Vitória do Xingu,1508357.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_4,0.0241026332397461,14.0,E5E5E5,Áreas Urbanas Sem CAR,Vitória do Xingu,1508357.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_5,3.0711210433349563,104.0,7F3822,Glebas Públicas Com CAR,Vitória do Xingu,1508357.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_6,0.16606180908203122,105.0,A85529,Glebas Públicas - FPND Com CAR,Vitória do Xingu,1508357.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_7,2.9710286703491273,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Vitória do Xingu,1508357.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_8,0.4623890560913083,113.0,494949,Áreas Sem Registro Fundiário Georreferenciado Com CAR,Vitória do Xingu,1508357.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_9,0.03213954949951171,114.0,E5E5E5,Áreas Urbanas Com CAR,Vitória do Xingu,1508357.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_10,0.03481320513916015,115.0,41BBD9,Massas d'água Com CAR,Vitória do Xingu,1508357.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_0,1.0658817249755856,1.0,DBA303,Terra Indígena Homologada Sem CAR,Altamira,1500602.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_1,0.16338434185791018,3.0,F14A74,Área Militar Sem CAR,Altamira,1500602.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_2,1.6294905965576159,4.0,7F3822,Glebas Públicas Sem CAR,Altamira,1500602.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_3,0.02214220867919922,5.0,A85529,Glebas Públicas - FPND Sem CAR,Altamira,1500602.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_4,0.006210574157714845,8.0,6A3D9A,Imóvel Rural Privado Sem CAR,Altamira,1500602.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_5,0.018586832824707026,10.0,5EDC40,Assentamento-B Sem CAR,Altamira,1500602.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_6,0.14039948883056635,11.0,008148,UCUS Sem CAR,Altamira,1500602.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_7,0.09249647131347662,12.0,21B8A1,UCPI Sem CAR,Altamira,1500602.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_8,0.16638930169677732,13.0,494949,Áreas Sem Registro Fundiário Georreferenciado Sem CAR,Altamira,1500602.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_9,0.04424329858398439,14.0,E5E5E5,Áreas Urbanas Sem CAR,Altamira,1500602.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_10,0.21148823828125046,15.0,41BBD9,Massas d'água Sem CAR,Altamira,1500602.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_11,15.850133221801673,104.0,7F3822,Glebas Públicas Com CAR,Altamira,1500602.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_12,0.3262598723144532,105.0,A85529,Glebas Públicas - FPND Com CAR,Altamira,1500602.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_13,19.193586248473963,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Altamira,1500602.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_14,0.02664112658691406,109.0,EE2918,Assentamento-A Com CAR,Altamira,1500602.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_15,0.2711955713500975,110.0,5EDC40,Assentamento-B Com CAR,Altamira,1500602.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_16,1.0114071630859387,111.0,008148,UCUS Com CAR,Altamira,1500602.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_17,0.17261349438476564,112.0,21B8A1,UCPI Com CAR,Altamira,1500602.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_18,9.186538668762228,113.0,494949,Áreas Sem Registro Fundiário Georreferenciado Com CAR,Altamira,1500602.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_19,0.028313600280761717,114.0,E5E5E5,Áreas Urbanas Com CAR,Altamira,1500602.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20,0.14809088922119149,115.0,41BBD9,Massas d'água Com CAR,Altamira,1500602.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0,0.008014852111816406,1.0,DBA303,Terra Indígena Homologada Sem CAR,Anapu,1500859.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1,0.4426316830444343,104.0,7F3822,Glebas Públicas Com CAR,Anapu,1500859.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2,0.024101123596191407,105.0,A85529,Glebas Públicas - FPND Com CAR,Anapu,1500859.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_3,0.1327571318359376,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Anapu,1500859.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_4,0.03655982098388673,113.0,494949,Áreas Sem Registro Fundiário Georreferenciado Com CAR,Anapu,1500859.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_5,0.011602725769042968,115.0,41BBD9,Massas d'água Com CAR,Anapu,1500859.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,0.024087871398925785,1.0,DBA303,Terra Indígena Homologada Sem CAR,Brasil Novo,1501725.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1,0.07499600115966792,4.0,7F3822,Glebas Públicas Sem CAR,Brasil Novo,1501725.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_2,0.003571603515625,5.0,A85529,Glebas Públicas - FPND Sem CAR,Brasil Novo,1501725.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_3,0.5649806791381844,104.0,7F3822,Glebas Públicas Com CAR,Brasil Novo,1501725.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_4,0.008033391174316406,105.0,A85529,Glebas Públicas - FPND Com CAR,Brasil Novo,1501725.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_5,0.43201867956542916,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Brasil Novo,1501725.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_6,0.07320106005859375,109.0,EE2918,Assentamento-A Com CAR,Brasil Novo,1501725.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_0,0.07673815252685548,1.0,DBA303,Terra Indígena Homologada Sem CAR,Medicilândia,1504455.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_1,0.1963132123413086,4.0,7F3822,Glebas Públicas Sem CAR,Medicilândia,1504455.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_2,0.008923134887695312,8.0,6A3D9A,Imóvel Rural Privado Sem CAR,Medicilândia,1504455.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_3,0.013387203002929688,9.0,EE2918,Assentamento-A Sem CAR,Medicilândia,1504455.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_4,0.030339841003417963,13.0,494949,Áreas Sem Registro Fundiário Georreferenciado Sem CAR,Medicilândia,1504455.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_5,1.6874550292358403,104.0,7F3822,Glebas Públicas Com CAR,Medicilândia,1504455.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_6,0.015176830993652345,105.0,A85529,Glebas Públicas - FPND Com CAR,Medicilândia,1504455.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_7,1.4125738398437502,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Medicilândia,1504455.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_8,0.1267328644409179,109.0,EE2918,Assentamento-A Com CAR,Medicilândia,1504455.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_9,8.923483276367187E-4,113.0,494949,Áreas Sem Registro Fundiário Georreferenciado Com CAR,Medicilândia,1504455.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_0,0.06781306567382817,4.0,7F3822,Glebas Públicas Sem CAR,Pacajá,1505486.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_1,0.022307383361816407,8.0,6A3D9A,Imóvel Rural Privado Sem CAR,Pacajá,1505486.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_2,0.01337840740966797,13.0,494949,Áreas Sem Registro Fundiário Georreferenciado Sem CAR,Pacajá,1505486.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_3,0.013380453002929685,14.0,E5E5E5,Áreas Urbanas Sem CAR,Pacajá,1505486.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_4,0.8573947488403317,104.0,7F3822,Glebas Públicas Com CAR,Pacajá,1505486.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_5,0.015165385864257815,105.0,A85529,Glebas Públicas - FPND Com CAR,Pacajá,1505486.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_6,1.6508797422485246,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Pacajá,1505486.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_7,1.0206755111694341,109.0,EE2918,Assentamento-A Com CAR,Pacajá,1505486.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_8,0.15253959521484373,113.0,494949,Áreas Sem Registro Fundiário Georreferenciado Com CAR,Pacajá,1505486.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_9,0.01070482452392578,199.0,9D9D9C,Outras Sobreposições Com CAR,Pacajá,1505486.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_0,1.433261790039064,4.0,7F3822,Glebas Públicas Sem CAR,Placas,1505650.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_1,0.012490604858398438,5.0,A85529,Glebas Públicas - FPND Sem CAR,Placas,1505650.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_2,0.0035680340576171874,8.0,6A3D9A,Imóvel Rural Privado Sem CAR,Placas,1505650.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_3,0.004460752868652344,9.0,EE2918,Assentamento-A Sem CAR,Placas,1505650.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_4,0.24264706237792974,13.0,494949,Áreas Sem Registro Fundiário Georreferenciado Sem CAR,Placas,1505650.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_5,8.917997436523438E-4,14.0,E5E5E5,Áreas Urbanas Sem CAR,Placas,1505650.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_6,5.244462115844719,104.0,7F3822,Glebas Públicas Com CAR,Placas,1505650.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_7,0.2381721728515626,105.0,A85529,Glebas Públicas - FPND Com CAR,Placas,1505650.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_8,2.355851907531743,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Placas,1505650.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_9,0.36577230462646476,109.0,EE2918,Assentamento-A Com CAR,Placas,1505650.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_10,0.15436426434326184,111.0,008148,UCUS Com CAR,Placas,1505650.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_11,3.883102050842281,113.0,494949,Áreas Sem Registro Fundiário Georreferenciado Com CAR,Placas,1505650.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_12,8.917997436523438E-4,114.0,E5E5E5,Áreas Urbanas Com CAR,Placas,1505650.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
